age,name,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
26,delbert okuneva,blue-collar,married,primary,no,0,yes,no,unknown,21,may,425,1,-1,0,unknown,no
32,lillie howe,entrepreneur,single,primary,yes,-849,yes,yes,cellular,4,feb,204,1,-1,0,unknown,no
61,felton lockman,admin.,married,unknown,no,4629,yes,no,cellular,27,jan,181,1,92,1,success,yes
45,serena hoeger,blue-collar,divorced,primary,no,844,no,no,unknown,5,jun,1018,3,-1,0,unknown,yes
37,karolann hodkiewicz,technician,single,secondary,no,228,yes,no,cellular,20,aug,1740,2,-1,0,unknown,no
38,maxime reichel,technician,single,secondary,no,50,no,no,cellular,29,aug,98,2,-1,0,unknown,no
34,amely boehm,technician,married,tertiary,no,1539,yes,no,cellular,15,jun,441,1,56,1,other,yes
53,anastasia schinner,blue-collar,married,secondary,no,2231,yes,no,cellular,14,jul,272,3,-1,0,unknown,no
48,esta hirthe,admin.,married,secondary,no,3064,yes,no,telephone,15,jul,159,2,-1,0,unknown,no
57,roberta berge,management,married,secondary,no,82,no,yes,telephone,4,feb,140,1,-1,0,unknown,no
33,shanon ziemann,self-employed,single,tertiary,no,2155,no,no,cellular,17,nov,295,1,-1,0,unknown,no
36,carolina kerluke,retired,single,secondary,no,101,yes,yes,unknown,26,may,314,1,-1,0,unknown,no
54,frank dubuque,technician,divorced,secondary,no,784,yes,yes,unknown,15,may,579,1,-1,0,unknown,no
41,adonis morar,blue-collar,married,primary,no,-516,no,yes,telephone,8,jul,554,3,-1,0,unknown,no
63,miles klein,retired,married,secondary,no,415,yes,no,cellular,7,oct,323,1,-1,0,unknown,no
48,shawn graham,management,married,tertiary,no,5887,no,no,cellular,13,aug,227,2,-1,0,unknown,no
48,emie heidenreich,services,married,secondary,no,1355,no,no,cellular,4,jul,134,2,-1,0,unknown,no
56,colt hirthe,admin.,married,secondary,no,16873,no,no,cellular,7,oct,223,1,-1,0,unknown,no
51,prudence rowe,blue-collar,divorced,secondary,no,203,yes,no,cellular,8,may,134,1,170,5,failure,no
31,curtis hegmann,services,married,secondary,no,338,yes,no,cellular,28,jan,155,1,-1,0,unknown,no
29,davin rowe,technician,married,secondary,no,444,yes,no,cellular,21,jul,130,4,-1,0,unknown,no
41,kaia sanford,management,married,secondary,no,0,no,yes,cellular,7,jul,630,3,-1,0,unknown,no
32,karson o'connell,technician,single,tertiary,no,360,no,no,cellular,19,nov,164,2,-1,0,unknown,no
37,misael franecki,management,married,tertiary,no,0,no,no,cellular,16,jul,268,2,182,3,success,yes
42,aditya leannon,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no
31,shea kulas,management,single,tertiary,no,6248,yes,no,unknown,9,may,154,2,-1,0,unknown,no
41,kory bernier,services,married,tertiary,no,412,yes,no,unknown,3,jun,154,5,-1,0,unknown,no
56,stanton schiller,retired,married,secondary,no,344,yes,no,unknown,15,may,221,1,-1,0,unknown,no
54,hugh king,management,divorced,tertiary,no,3222,no,no,cellular,14,aug,67,2,-1,0,unknown,no
41,roma friesen,blue-collar,divorced,secondary,no,174,yes,no,cellular,14,may,367,2,297,1,other,no
40,eliseo senger,technician,single,secondary,no,591,no,yes,cellular,14,aug,87,6,-1,0,unknown,no
50,mathias buckridge,blue-collar,divorced,primary,no,388,no,no,cellular,5,feb,701,1,-1,0,unknown,no
40,kole russel,unemployed,married,secondary,no,219,yes,no,cellular,17,nov,204,2,196,1,failure,no
27,adelia skiles,admin.,divorced,secondary,no,451,yes,no,cellular,16,jul,652,1,-1,0,unknown,yes
60,mitchell labadie,retired,married,primary,no,5,no,no,cellular,26,aug,63,2,-1,0,unknown,no
28,easter huels,admin.,single,secondary,no,177,yes,yes,cellular,6,may,150,1,-1,0,unknown,no
52,verlie kuvalis,services,married,secondary,no,657,no,no,telephone,7,jul,398,2,460,2,failure,yes
37,geovanny lind,management,married,tertiary,no,1315,no,no,cellular,30,jun,224,1,-1,0,unknown,yes
51,clement hilpert,blue-collar,married,primary,no,1466,yes,no,unknown,7,may,406,2,-1,0,unknown,no
41,gilbert schmidt,technician,single,secondary,no,879,no,yes,cellular,7,jul,60,4,-1,0,unknown,no
35,milton renner,blue-collar,single,primary,no,293,yes,no,unknown,30,may,521,2,-1,0,unknown,no
38,gunnar o'connell,admin.,married,secondary,no,424,yes,no,cellular,17,apr,279,1,-1,0,unknown,no
34,reece ward,blue-collar,married,secondary,no,1831,yes,no,unknown,20,may,203,2,-1,0,unknown,no
39,micaela sporer,blue-collar,married,primary,no,111,no,no,cellular,18,nov,201,2,-1,0,unknown,no
34,donna donnelly,blue-collar,married,primary,no,455,yes,no,unknown,20,jun,372,3,-1,0,unknown,no
27,herbert lubowitz,services,single,secondary,no,-195,yes,no,cellular,18,may,391,1,-1,0,unknown,yes
32,kay koss,management,single,tertiary,no,3616,no,no,cellular,14,aug,165,2,-1,0,unknown,no
57,abigale cruickshank,blue-collar,married,secondary,no,14093,no,no,cellular,11,aug,231,5,-1,0,unknown,no
41,genevieve krajcik,unknown,single,tertiary,no,1567,no,no,cellular,1,jul,291,2,-1,0,unknown,no
41,vivian conn,admin.,married,tertiary,no,5426,yes,no,unknown,14,may,149,2,-1,0,unknown,no
30,polly dicki,admin.,single,tertiary,no,261,no,no,cellular,19,oct,233,1,137,20,failure,no
36,maximo douglas,blue-collar,divorced,secondary,no,2843,no,no,cellular,12,feb,473,1,182,1,success,no
31,akeem homenick,unemployed,single,primary,no,406,no,no,cellular,4,feb,736,1,-1,0,unknown,yes
36,caroline gaylord,blue-collar,married,secondary,no,0,yes,no,unknown,6,may,337,1,-1,0,unknown,no
38,alanna bayer,management,single,tertiary,no,493,yes,no,cellular,11,may,553,1,367,7,failure,no
49,shad lang,technician,married,secondary,no,5996,no,no,telephone,21,nov,345,2,-1,0,unknown,no
57,norberto kris,services,single,primary,no,3777,yes,no,telephone,13,may,65,2,-1,0,unknown,no
34,dagmar kautzer,management,single,secondary,no,524,no,no,unknown,13,aug,9,1,-1,0,unknown,no
32,chesley bailey,management,single,tertiary,no,574,yes,no,cellular,14,apr,259,2,145,3,failure,no
37,frank sporer,blue-collar,married,secondary,no,427,yes,yes,unknown,9,jun,371,3,-1,0,unknown,no
33,ariane doyle,self-employed,married,tertiary,no,483,yes,no,cellular,3,feb,280,2,-1,0,unknown,no
56,serena daugherty,unemployed,married,primary,no,3391,no,no,cellular,21,apr,243,1,-1,0,unknown,yes
27,renee kohler,housemaid,married,primary,no,0,yes,no,cellular,23,jul,435,3,-1,0,unknown,no
21,dane klein,student,single,secondary,no,2488,no,no,cellular,30,jun,258,6,169,3,success,yes
58,daniella hahn,management,married,tertiary,no,1517,yes,no,telephone,29,jul,7,5,-1,0,unknown,no
32,arvilla greenfelder,self-employed,married,secondary,no,217,yes,yes,cellular,15,jul,317,5,-1,0,unknown,no
33,ellen hoeger,blue-collar,single,secondary,no,22,no,no,cellular,30,jan,76,2,207,1,failure,no
25,samir grady,student,single,secondary,no,331,no,no,telephone,26,aug,170,4,-1,0,unknown,yes
25,antoinette baumbach,technician,single,secondary,no,505,no,yes,cellular,17,nov,386,2,-1,0,unknown,yes
30,jennifer mayert,services,married,secondary,no,1808,yes,no,cellular,18,may,83,2,-1,0,unknown,no
22,walter schneider,admin.,single,secondary,no,4111,no,yes,cellular,19,aug,65,1,-1,0,unknown,no
39,reyes kuvalis,blue-collar,married,primary,no,52,no,no,cellular,13,aug,69,1,-1,0,unknown,no
46,esmeralda schowalter,management,divorced,tertiary,no,25,no,no,unknown,17,jun,564,2,-1,0,unknown,no
31,palma hudson,admin.,divorced,secondary,no,1890,yes,no,cellular,21,jul,588,1,-1,0,unknown,no
45,bernadine bergstrom,blue-collar,married,primary,no,419,no,no,cellular,18,aug,113,4,-1,0,unknown,no
32,samson rohan,technician,married,secondary,no,2693,yes,no,unknown,21,may,16,1,-1,0,unknown,no
36,bette durgan,blue-collar,married,secondary,no,-231,no,yes,cellular,15,jul,779,2,-1,0,unknown,no
51,elyssa nolan,management,single,tertiary,yes,-55,yes,no,cellular,11,may,281,2,266,6,failure,no
34,bennie gorczany,self-employed,single,tertiary,no,462,no,no,cellular,21,aug,1877,3,-1,0,unknown,yes
24,enoch cronin,unemployed,single,secondary,no,119,no,no,unknown,15,sep,51,1,-1,0,unknown,no
45,alessandro reilly,technician,single,secondary,no,586,no,yes,cellular,28,jul,32,3,-1,0,unknown,no
32,nathaniel lueilwitz,blue-collar,single,secondary,no,228,no,no,telephone,5,feb,176,1,288,3,failure,no
77,demetrius goldner,retired,divorced,tertiary,no,4659,no,no,cellular,14,apr,161,1,-1,0,unknown,yes
41,grover hoeger,blue-collar,married,primary,no,168,yes,no,cellular,18,nov,187,3,-1,0,unknown,no
37,chyna moen,blue-collar,married,primary,no,0,yes,no,unknown,26,may,24,1,-1,0,unknown,no
43,freda harber,blue-collar,married,unknown,yes,-715,yes,no,unknown,30,may,67,3,-1,0,unknown,no
48,jaquan cruickshank,admin.,married,unknown,no,0,yes,no,cellular,8,may,85,1,168,2,failure,no
27,lavinia reinger,technician,single,secondary,no,769,yes,no,unknown,9,may,317,2,-1,0,unknown,no
33,stanley howell,management,single,tertiary,no,0,no,no,cellular,28,aug,236,10,-1,0,unknown,no
29,amira zieme,admin.,single,secondary,no,428,yes,yes,cellular,7,may,54,1,345,2,failure,no
34,ladarius nolan,management,single,tertiary,no,0,no,no,cellular,5,feb,71,1,-1,0,unknown,no
52,alysson weber,management,married,tertiary,no,-970,yes,no,cellular,4,feb,489,1,-1,0,unknown,yes
60,aliya skiles,management,married,unknown,no,6313,no,no,unknown,19,jun,39,2,-1,0,unknown,no
32,parker kreiger,management,divorced,tertiary,no,948,no,no,cellular,12,aug,204,2,-1,0,unknown,no
32,vida oberbrunner,management,single,tertiary,no,0,yes,no,cellular,22,jul,455,2,-1,0,unknown,no
56,israel eichmann,services,divorced,unknown,no,1877,yes,no,unknown,30,may,86,1,-1,0,unknown,no
31,alexys harris,management,single,tertiary,no,874,yes,no,cellular,18,nov,190,2,-1,0,unknown,no
42,paxton batz,admin.,married,secondary,no,323,yes,yes,unknown,8,may,280,2,-1,0,unknown,no
35,edward corwin,management,married,tertiary,no,106,no,yes,cellular,11,aug,588,2,-1,0,unknown,no
56,forrest pfeffer,retired,married,primary,no,1906,no,yes,unknown,19,jun,45,9,-1,0,unknown,no
48,myriam flatley,technician,married,secondary,no,1152,yes,no,cellular,21,jul,168,5,-1,0,unknown,no
46,gladys gusikowski,admin.,married,secondary,no,179,yes,no,cellular,29,jan,194,4,436,1,other,no
37,colin greenholt,technician,single,unknown,no,391,yes,no,unknown,8,may,103,3,-1,0,unknown,no
41,zachery gutmann,entrepreneur,married,unknown,no,89,yes,no,unknown,6,may,333,2,-1,0,unknown,no
36,theodore schaefer,management,single,tertiary,no,442,yes,yes,cellular,29,jul,102,3,-1,0,unknown,no
45,gregg hodkiewicz,unemployed,divorced,primary,yes,-249,yes,yes,unknown,1,jul,92,1,-1,0,unknown,no
55,brendon schumm,entrepreneur,married,secondary,no,8104,no,no,cellular,6,feb,213,2,-1,0,unknown,no
39,sofia kihn,technician,married,secondary,no,501,no,no,unknown,26,may,289,1,-1,0,unknown,no
35,gaston shanahan,technician,divorced,secondary,no,308,no,no,cellular,22,aug,77,2,-1,0,unknown,no
55,junior brekke,admin.,married,secondary,no,602,no,no,cellular,1,jun,324,3,90,2,success,yes
55,abagail glover,technician,married,secondary,no,273,yes,no,cellular,29,jan,84,3,183,3,failure,no
27,enos bins,self-employed,single,secondary,no,50,no,no,cellular,29,jan,168,1,-1,0,unknown,no
34,nathanial lebsack,technician,married,secondary,no,1641,yes,no,cellular,17,apr,380,1,-1,0,unknown,no
34,annetta reichert,blue-collar,married,tertiary,no,20,no,no,unknown,4,oct,10,1,-1,0,unknown,no
25,ernest zemlak,admin.,single,secondary,no,4590,yes,no,unknown,28,may,199,2,-1,0,unknown,no
41,kristy swaniawski,admin.,single,secondary,no,-256,no,yes,unknown,9,may,35,3,-1,0,unknown,no
43,stephon carter,services,married,secondary,no,978,yes,yes,unknown,26,may,82,2,-1,0,unknown,no
28,bobby dibbert,management,single,tertiary,no,80,no,no,cellular,20,oct,676,2,146,2,failure,yes
31,larue sipes,admin.,single,secondary,no,2104,yes,no,unknown,3,jun,455,1,-1,0,unknown,no
78,madelyn terry,housemaid,married,secondary,no,499,no,no,telephone,16,mar,80,4,-1,0,unknown,no
45,albin feil,blue-collar,divorced,secondary,no,1269,yes,no,cellular,29,jan,549,2,-1,0,unknown,no
48,deondre monahan,technician,married,tertiary,no,310,no,no,unknown,6,may,135,1,-1,0,unknown,no
32,barton schinner,blue-collar,single,secondary,no,1143,yes,yes,cellular,10,jul,412,1,-1,0,unknown,no
42,emmie upton,technician,married,secondary,no,2980,no,no,unknown,20,jun,101,3,-1,0,unknown,no
37,wilburn lakin,management,single,tertiary,no,37,no,no,cellular,28,jan,253,2,-1,0,unknown,no
40,osbaldo cole,admin.,single,secondary,no,462,yes,yes,cellular,6,apr,272,1,335,4,other,no
32,antone padberg,admin.,married,secondary,no,1031,yes,no,cellular,17,jul,84,1,-1,0,unknown,no
42,enrico deckow,management,married,tertiary,no,9009,no,no,cellular,20,nov,135,2,-1,0,unknown,no
43,frederique rutherford,admin.,married,secondary,no,-465,yes,yes,cellular,23,jul,166,1,-1,0,unknown,no
44,judah lindgren,admin.,married,secondary,no,5181,yes,yes,cellular,31,jul,18,7,-1,0,unknown,no
37,ericka shanahan,admin.,married,secondary,no,176,yes,no,cellular,5,may,147,2,347,1,failure,no
37,wilfred roob,unknown,married,unknown,no,1699,no,no,unknown,9,jun,63,1,-1,0,unknown,no
37,gia mills,admin.,married,tertiary,no,0,yes,no,cellular,17,nov,65,2,119,1,failure,no
28,virginia altenwerth,technician,single,tertiary,no,172,yes,yes,cellular,2,feb,194,2,-1,0,unknown,no
32,colleen yost,services,single,secondary,no,0,no,yes,cellular,11,jul,333,2,-1,0,unknown,no
34,ethan upton,admin.,single,secondary,no,6979,yes,no,cellular,15,may,14,5,-1,0,unknown,no
40,crystel padberg,admin.,divorced,secondary,no,6,no,no,unknown,11,jun,140,1,-1,0,unknown,no
34,augustine stroman,services,married,secondary,no,-62,yes,no,unknown,16,jun,109,3,-1,0,unknown,no
34,eleanora reinger,self-employed,married,tertiary,no,1972,yes,no,cellular,23,jul,61,2,-1,0,unknown,no
34,niko vonrueden,admin.,married,tertiary,no,899,yes,no,telephone,19,nov,377,3,7,4,success,no
37,kelsi berge,services,single,secondary,no,21,yes,no,cellular,2,feb,96,1,271,2,other,no
36,deven glover,technician,married,secondary,no,23,yes,no,cellular,8,may,152,2,347,1,failure,no
56,margret powlowski,retired,married,secondary,no,-1206,yes,no,cellular,15,jun,382,2,-1,0,unknown,yes
49,antwon gorczany,blue-collar,married,primary,no,0,yes,yes,telephone,23,jul,97,6,-1,0,unknown,no
33,jose reynolds,self-employed,married,secondary,no,215,yes,no,cellular,29,jul,543,12,-1,0,unknown,no
30,lavonne connelly,management,single,tertiary,no,1372,no,no,cellular,20,nov,240,2,-1,0,unknown,no
36,arnold bruen,services,married,secondary,no,1981,no,no,unknown,17,jun,48,2,-1,0,unknown,no
23,shanny adams,student,single,secondary,no,9216,no,no,cellular,5,jun,471,2,-1,0,unknown,no
57,hiram bashirian,retired,divorced,secondary,no,39,yes,no,cellular,30,jul,354,3,-1,0,unknown,no
27,maureen rosenbaum,blue-collar,single,secondary,no,5563,yes,no,unknown,30,may,435,2,-1,0,unknown,no
38,armand mohr,services,married,secondary,no,1,no,yes,cellular,21,nov,152,2,-1,0,unknown,no
42,eli gaylord,technician,married,tertiary,no,782,no,no,cellular,3,apr,285,1,-1,0,unknown,no
75,elyssa bernier,retired,married,secondary,no,3771,no,no,telephone,15,apr,185,1,181,2,success,yes
34,cornell dooley,technician,single,tertiary,no,992,yes,no,cellular,4,may,301,1,88,2,success,no
48,virginia miller,technician,married,secondary,no,1526,no,no,cellular,6,aug,273,2,-1,0,unknown,no
35,jaunita hand,technician,single,tertiary,no,2658,yes,no,cellular,19,aug,768,2,141,3,failure,yes
39,madeline wisozk,management,divorced,tertiary,no,1315,yes,no,cellular,19,nov,1337,4,126,1,failure,no
29,dario brekke,blue-collar,single,tertiary,no,455,no,no,telephone,21,apr,403,1,-1,0,unknown,yes
45,boyd miller,technician,single,tertiary,no,0,yes,no,cellular,18,nov,139,2,-1,0,unknown,no
42,demond lehner,technician,married,secondary,no,2030,yes,yes,cellular,9,jul,196,1,-1,0,unknown,no
29,maxwell ernser,technician,married,secondary,no,1599,yes,no,cellular,8,jul,115,1,61,1,failure,no
38,friedrich renner,services,single,secondary,no,-196,yes,no,cellular,2,feb,60,1,271,1,failure,no
56,lora hamill,retired,married,secondary,no,1333,no,no,cellular,28,aug,17,14,-1,0,unknown,no
36,clementine lueilwitz,technician,single,secondary,no,9149,yes,no,cellular,13,aug,141,3,-1,0,unknown,no
25,heaven willms,blue-collar,single,secondary,no,-350,yes,no,unknown,23,jun,95,3,-1,0,unknown,no
38,elna schulist,technician,married,tertiary,no,432,yes,no,cellular,15,may,10,2,373,1,other,no
57,ladarius bednar,self-employed,married,secondary,no,11494,no,no,cellular,19,nov,198,1,-1,0,unknown,no
31,markus buckridge,management,married,tertiary,yes,-253,no,no,cellular,12,aug,220,4,-1,0,unknown,no
42,joany dickinson,management,married,tertiary,no,372,yes,no,cellular,3,aug,654,2,-1,0,unknown,yes
45,leonard willms,technician,married,secondary,no,1410,no,no,cellular,11,aug,71,2,-1,0,unknown,no
30,judd kohler,blue-collar,married,secondary,no,975,yes,no,cellular,13,may,256,2,351,2,failure,no
49,eda heathcote,blue-collar,married,primary,no,305,yes,yes,telephone,10,jul,834,10,-1,0,unknown,no
49,manuela mohr,services,married,secondary,no,400,no,no,cellular,21,aug,151,3,-1,0,unknown,no
53,rylan boyle,retired,married,tertiary,no,-22,yes,no,cellular,31,jul,20,3,-1,0,unknown,no
37,ruben lemke,technician,married,secondary,no,4030,yes,no,unknown,26,may,178,5,-1,0,unknown,no
49,roslyn crona,blue-collar,married,primary,no,365,no,no,unknown,26,may,59,2,-1,0,unknown,no
41,shaniya quitzon,self-employed,married,primary,no,204,no,no,cellular,13,aug,111,7,-1,0,unknown,no
54,maia hammes,management,married,primary,no,1691,yes,no,cellular,20,nov,186,1,-1,0,unknown,no
32,pinkie glover,services,single,secondary,no,406,yes,no,unknown,6,may,227,1,-1,0,unknown,no
33,lavern rath,technician,married,secondary,no,-204,no,no,cellular,15,may,297,3,-1,0,unknown,no
33,marta jacobi,technician,married,secondary,no,359,yes,no,cellular,20,apr,210,1,242,1,other,no
36,wilfredo rau,blue-collar,married,primary,no,123,yes,no,cellular,18,may,9,1,-1,0,unknown,no
35,isaiah goyette,technician,married,tertiary,no,0,yes,yes,cellular,23,sep,112,1,62,6,other,no
52,dax prosacco,unknown,married,secondary,no,142,no,no,cellular,25,aug,112,6,-1,0,unknown,no
40,isabella auer,entrepreneur,married,tertiary,no,3571,no,no,unknown,9,jun,222,3,-1,0,unknown,no
44,wellington roberts,technician,single,secondary,no,33,yes,no,cellular,13,may,195,3,351,10,failure,no
45,dixie johnson,blue-collar,single,secondary,no,0,yes,no,cellular,26,jul,768,2,91,5,success,no
30,jammie stark,student,single,secondary,no,3096,no,no,cellular,26,jan,123,1,-1,0,unknown,no
48,donald green,technician,divorced,secondary,yes,20,no,no,cellular,27,aug,145,3,-1,0,unknown,no
33,howell haley,blue-collar,married,secondary,no,3576,yes,no,cellular,2,apr,124,1,308,2,other,no
57,una glover,technician,married,unknown,no,206,yes,no,unknown,5,may,216,3,-1,0,unknown,no
57,hyman gerhold,housemaid,married,primary,no,7082,no,no,unknown,6,jun,69,3,-1,0,unknown,no
51,sherwood goodwin,unemployed,married,tertiary,no,1634,yes,no,cellular,22,jul,168,4,-1,0,unknown,no
34,geovanny schinner,admin.,single,secondary,no,1,yes,no,cellular,22,jul,483,7,-1,0,unknown,no
50,khalid feeney,self-employed,married,tertiary,no,4012,no,no,cellular,19,nov,690,3,-1,0,unknown,no
44,mozelle daniel,management,married,tertiary,no,3762,no,no,cellular,28,aug,125,12,-1,0,unknown,no
27,carlo borer,admin.,married,secondary,no,-247,yes,yes,unknown,4,jun,344,2,-1,0,unknown,no
50,nichole weber,blue-collar,married,secondary,no,606,yes,no,unknown,14,may,673,2,-1,0,unknown,no
36,antonia pollich,management,married,tertiary,no,0,yes,no,cellular,28,jan,60,1,250,1,other,no
42,alford kuhic,management,married,secondary,no,-189,yes,no,unknown,12,may,247,2,-1,0,unknown,no
32,nettie ryan,unemployed,single,secondary,no,0,no,no,cellular,27,may,123,2,-1,0,unknown,no
42,ahmad johns,management,married,tertiary,no,484,yes,no,cellular,11,jul,144,2,-1,0,unknown,no
43,domingo heller,technician,married,secondary,no,0,no,yes,cellular,8,may,9,2,172,5,failure,no
31,kylie abbott,management,married,tertiary,no,395,yes,no,cellular,9,feb,155,3,-1,0,unknown,no
32,gillian gleichner,management,married,tertiary,no,2349,no,no,cellular,14,aug,134,5,-1,0,unknown,no
55,erna steuber,blue-collar,divorced,primary,no,410,no,yes,cellular,11,jul,221,2,-1,0,unknown,no
58,zander greenfelder,retired,married,primary,no,3401,yes,no,cellular,3,feb,84,3,265,2,failure,no
46,florian morar,blue-collar,married,primary,no,222,no,no,cellular,8,aug,71,2,-1,0,unknown,no
55,cassandre gutmann,blue-collar,married,secondary,no,989,yes,yes,unknown,23,may,246,4,-1,0,unknown,no
34,kathleen kozey,management,married,tertiary,no,415,no,yes,cellular,23,jul,361,2,-1,0,unknown,no
28,sheridan stamm,unemployed,single,secondary,no,16,no,no,cellular,12,aug,119,4,-1,0,unknown,no
42,keon ernser,technician,divorced,tertiary,no,7190,yes,no,cellular,29,jul,375,2,-1,0,unknown,no
29,helga ziemann,blue-collar,single,secondary,no,482,no,yes,cellular,10,jul,1097,3,-1,0,unknown,yes
54,karina gerhold,housemaid,married,secondary,no,209,yes,yes,cellular,25,jul,97,1,-1,0,unknown,no
32,albertha pfeffer,technician,single,secondary,no,0,no,no,cellular,26,aug,181,2,-1,0,unknown,no
39,alberto bauch,technician,single,tertiary,no,5803,no,no,cellular,2,feb,83,3,-1,0,unknown,no
53,wilbert herman,entrepreneur,married,tertiary,no,624,no,yes,cellular,21,jul,180,4,-1,0,unknown,no
58,weldon schneider,technician,married,tertiary,no,883,no,no,cellular,18,aug,543,1,78,2,failure,no
40,asa nienow,self-employed,married,secondary,no,1516,yes,yes,unknown,23,may,373,1,-1,0,unknown,no
29,dusty conn,student,single,secondary,no,872,yes,no,unknown,7,may,230,1,-1,0,unknown,no
33,thelma dibbert,technician,married,tertiary,no,-988,yes,yes,cellular,15,jul,83,3,-1,0,unknown,no
